"lat","long","country","location","side"
9.53017521,-8.1411314,"GIN","Beyla","east"
11.6718111,-14.25866032,"GIN","Boke","west"
9.76248074,-13.55492878,"GIN","Conakry","west"
9.95613003,-13.25418091,"GIN","Coyah","west"
10.50757313,-13.36790085,"GIN","Dubreka","west"
10.51808453,-10.43242645,"GIN","Faranah","east"
9.73583317,-12.74163342,"GIN","Forecariah","west"
10.68770313,-13.44943428,"GIN","Fria","west"
9.0743618,-10.43779755,"GIN","Gueckedou","east"
8.48867893,-10.30195904,"SLE","Kailahun","east"
11.03341579,-9.15898895,"GIN","Kankan","east"
9.81579876,-8.93785572,"GIN","Kerouane","east"
9.61428928,-10.07583046,"GIN","Kissidougou","east"
11.4039917,-10.31492519,"GIN","Kouroussa","east"
8.54570007,-9.75336456,"LBR","Lofa","east"
8.48955822,-8.36706734,"GIN","Lola","east"
8.87754917,-9.37296772,"GIN","Macenta","east"
8.37824059,-8.67027378,"GIN","Nzerekore","east"
12.49826241,-9.24461842,"GIN","Siguiri","east"
