location,A,V
Beyla,0,4
Bo,0,13
Boke,18,0
Bombali,0,108
Bomi,0,5
Bong,0,2
Bonthe,0,1
Conakry,13,59
Coyah,15,11
Dalaba,0,3
Dubreka,1,21
Faranah,0,8
Forecariah,13,45
Fria,1,2
Gbarpolu,0,1
GrandBassa,0,14
GrandCapeMount,0,4
GrandKru,0,2
Gueckedou,43,15
Kailahun,0,101
Kambia,3,71
Kankan,0,4
Kenema,0,75
Kerouane,1,9
Kindia,2,0
Kissidougou,2,16
Koinadugu,0,11
Kono,0,39
Kouroussa,1,1
Lofa,0,13
Lola,0,2
Macenta,7,33
Margibi,0,21
Montserrado,0,67
Moyamba,0,23
Nimba,0,5
Nzerekore,0,9
PortLoko,0,150
Pujehun,0,9
RiverCess,0,2
RiverGee,0,1
Siguiri,1,2
Sinoe,0,3
Tonkolili,0,19
WesternArea,0,18
WesternRural,1,87
WesternUrban,0,152
